id,season,week,date,type,conferenceGame,home,away,homeConference,awayConference,result,homePoints,awayPoints
401756846,2025,1,2025-08-23T16:00:00.000Z,CONFERENCE,true,Kansas State,Iowa State,Big 12,Big 12,AWAY_WIN,21,24
401752796,2025,1,2025-08-29T01:00:00.000Z,NON_CONFERENCE,false,Cincinnati,Nebraska,Big 12,Big Ten,AWAY_WIN,17,20
401752667,2025,1,2025-08-30T00:00:00.000Z,NON_CONFERENCE,false,Baylor,Auburn,Big 12,SEC,AWAY_WIN,24,38
401754375,2025,1,2025-08-30T00:00:00.000Z,NON_CONFERENCE,false,Colorado,Georgia Tech,Big 12,ACC,AWAY_WIN,20,27
401752677,2025,1,2025-08-30T16:00:00.000Z,NON_CONFERENCE,false,Ohio State,Texas,Big Ten,SEC,HOME_WIN,14,7
401752676,2025,1,2025-08-30T16:00:00.000Z,NON_CONFERENCE,false,Tennessee,Syracuse,SEC,ACC,HOME_WIN,45,26
401752665,2025,1,2025-08-30T19:30:00.000Z,NON_CONFERENCE,false,Florida State,Alabama,ACC,SEC,HOME_WIN,31,17
401752671,2025,1,2025-08-30T23:30:00.000Z,NON_CONFERENCE,false,Clemson,LSU,ACC,SEC,AWAY_WIN,10,17
401752800,2025,1,2025-08-31T03:00:00.000Z,NON_CONFERENCE,false,UCLA,Utah,Big Ten,Big 12,AWAY_WIN,10,43
401752680,2025,1,2025-08-31T19:00:00.000Z,NON_CONFERENCE,false,South Carolina,Virginia Tech,SEC,ACC,HOME_WIN,24,11
401754522,2025,1,2025-08-31T23:30:00.000Z,NON_CONFERENCE,false,Miami,Notre Dame,ACC,FBS Independents,HOME_WIN,27,24
401754523,2025,1,2025-09-02T00:00:00.000Z,NON_CONFERENCE,false,North Carolina,TCU,ACC,Big 12,AWAY_WIN,14,48
401754525,2025,2,2025-09-06T16:00:00.000Z,NON_CONFERENCE,false,SMU,Baylor,ACC,Big 12,AWAY_WIN,45,48
401752825,2025,2,2025-09-06T16:00:00.000Z,NON_CONFERENCE,false,Duke,Illinois,ACC,Big Ten,AWAY_WIN,19,45
401754618,2025,2,2025-09-06T16:00:00.000Z,NON_CONFERENCE,false,Syracuse,UConn,ACC,FBS Independents,HOME_WIN,27,20
401752822,2025,2,2025-09-06T16:00:00.000Z,NON_CONFERENCE,false,Iowa State,Iowa,Big 12,Big Ten,HOME_WIN,16,13
401754524,2025,2,2025-09-06T16:00:00.000Z,NON_CONFERENCE,false,NC State,Virginia,ACC,ACC,HOME_WIN,35,31
401752686,2025,2,2025-09-06T19:30:00.000Z,CONFERENCE,true,Kentucky,Ole Miss,SEC,SEC,AWAY_WIN,23,30
401752824,2025,2,2025-09-06T19:30:00.000Z,NON_CONFERENCE,false,Oregon,Oklahoma State,Big Ten,Big 12,HOME_WIN,69,3
401752689,2025,2,2025-09-06T19:30:00.000Z,NON_CONFERENCE,false,Missouri,Kansas,SEC,Big 12,HOME_WIN,42,31
401752690,2025,2,2025-09-06T23:30:00.000Z,NON_CONFERENCE,false,Oklahoma,Michigan,SEC,Big Ten,HOME_WIN,24,13
401752695,2025,2,2025-09-06T23:30:00.000Z,NON_CONFERENCE,false,Virginia Tech,Vanderbilt,ACC,SEC,AWAY_WIN,20,44
401752688,2025,2,2025-09-06T23:30:00.000Z,NON_CONFERENCE,false,Mississippi State,Arizona State,SEC,Big 12,HOME_WIN,24,20
401752816,2025,2,2025-09-06T23:30:00.000Z,NON_CONFERENCE,false,Michigan State,Boston College,Big Ten,ACC,HOME_WIN,42,40
401754526,2025,2,2025-09-07T02:15:00.000Z,NON_CONFERENCE,false,BYU,Stanford,Big 12,ACC,HOME_WIN,27,3
401754531,2025,3,2025-09-11T23:30:00.000Z,CONFERENCE,true,Wake Forest,NC State,ACC,ACC,AWAY_WIN,24,34
401756893,2025,3,2025-09-12T23:30:00.000Z,CONFERENCE,true,Houston,Colorado,Big 12,Big 12,HOME_WIN,36,20
401756888,2025,3,2025-09-13T01:00:00.000Z,NON_CONFERENCE,false,Arizona,Kansas State,Big 12,Big 12,HOME_WIN,23,17
401754623,2025,3,2025-09-13T16:00:00.000Z,CONFERENCE,true,Georgia Tech,Clemson,ACC,ACC,HOME_WIN,24,21
401752831,2025,3,2025-09-13T16:00:00.000Z,CONFERENCE,true,Northwestern,Oregon,Big Ten,Big Ten,AWAY_WIN,14,34
401752696,2025,3,2025-09-13T16:00:00.000Z,NON_CONFERENCE,false,Alabama,Wisconsin,SEC,Big Ten,HOME_WIN,38,14
401752705,2025,3,2025-09-13T19:30:00.000Z,CONFERENCE,true,Tennessee,Georgia,SEC,SEC,AWAY_WIN,41,44
401752832,2025,3,2025-09-13T19:30:00.000Z,CONFERENCE,true,Purdue,USC,Big Ten,Big Ten,AWAY_WIN,17,33
401752700,2025,3,2025-09-13T23:00:00.000Z,CONFERENCE,true,Ole Miss,Arkansas,SEC,SEC,HOME_WIN,41,35
401752699,2025,3,2025-09-13T23:30:00.000Z,CONFERENCE,true,LSU,Florida,SEC,SEC,HOME_WIN,20,10
401752707,2025,3,2025-09-13T23:30:00.000Z,NON_CONFERENCE,false,Notre Dame,Texas A&M,FBS Independents,SEC,AWAY_WIN,40,41
401752704,2025,3,2025-09-13T23:45:00.000Z,CONFERENCE,true,South Carolina,Vanderbilt,SEC,SEC,AWAY_WIN,7,31
401754533,2025,3,2025-09-14T02:30:00.000Z,CONFERENCE,true,Stanford,Boston College,ACC,ACC,HOME_WIN,30,20
401752840,2025,3,2025-09-14T02:30:00.000Z,NON_CONFERENCE,false,California,Minnesota,ACC,Big Ten,HOME_WIN,27,14
